STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P
NP-Gl367,1,0.6401228902344716,1.3245893793615202e-10,0.5875659342743345,6.6117707545631605e-09,0.5785850204349219,1.225423847640826e-08,0.5625361855695987,3.5720769790792575e-08,0.553098463133702,6.577706211930523e-08
NP-Gl382,1,0.4959270735471664,4.20228962774012e-20,0.4840926086385017,2.4790115852001265e-19,0.4747748603804439,9.741797227629586e-19,0.4738435160892691,1.115471114892655e-18,0.4708352138990594,1.724759743118051e-18
NP-Gl406,1,0.19102699929706632,0.7052536912506342,0.182636972772797,0.788633378747742,0.17116322111375487,0.8831738284355339,0.1670244310419886,0.9100351700804366,0.1650211888715125,0.9215372482014728
NP-Gl413.1,1,0.4997252633941535,0.4690179082937813,0.4616270534342597,0.6385883922545768,0.4606861827923304,0.6427152771407452,0.4593561363106829,0.6485321168536136,0.4484463699793573,0.695316340516405
NP-Gl438,1,0.06224620095842525,0.9999999999941012,0.06001169590672373,0.9999999999959532,0.05491462666790902,0.9999999999981902,0.0541409991607838,0.9999999999983856,0.052862517063566435,0.9999999999986564
NP-Gl447,1,0.4874730191645312,1.9684970059717637e-21,0.4617798772907107,1.0838026818076831e-19,0.4453369787500866,1.2743806881158412e-18,0.4334019956888674,7.280911939111902e-18,0.4116397930853569,1.5899695185976895e-16
NP-Gl452.1,1,0.3188420321681807,0.9993179044659606,0.3053823360760746,0.9996193695327258,0.2688215026479429,0.9999301061577692,0.2588608422349718,0.9999569834151172,0.2322305695127731,0.9999886428301036
NP-Gl465,1,0.0117190277254713,0.9999999905356978,0.011513850645296987,0.9999999896110376,0.010542975963439056,0.9999999835084256,0.010049690929842849,0.9999999788470788,0.01000193638863292,0.9999999783195196
NP-Gl486,1,0.3311322958425682,0.9999067987492424,0.31507571512138044,0.9999529058685592,0.27973765444963056,0.9999899533618212,0.2700526966633987,0.999993455616186,0.2658777844913917,0.9999945600149918
NP-Gl569A,1,0.44453303775684266,0.3053310198246157,0.4302387315195244,0.3737863110508005,0.4273614805304805,0.3885036012624615,0.4260186221934975,0.3954713753042042,0.4072413238699131,0.4984740112428384
NP-Gl618A,1,0.9183593414064932,7.314510003466313e-08,0.9069873353514322,2.2026871297201894e-07,0.8660214791297098,4.790063185301146e-06,0.7467211323686325,0.0009984772495372325,0.6682326446944483,0.009338776542042052
NP-Gl628,1,0.1912678231140469,3.5586553287510354e-06,0.1911685121465178,3.599255234294848e-06,0.18925655782408907,4.47642019662712e-06,0.1869222072951744,5.837609951869966e-06,0.1749430901890444,2.249593279276913e-05
